id,id2,Census Tract,County,State,Median_income,Income Bracket,ENERGY BILL,ELEC BILL,GAS BILL,WATER BILL,energy burden,elec burden,gas bill,water bill,Total HH,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more",HH_Living costs (month),HH_Living Costs (annual),Poverty Rate,Population_Greater_Mile,Food_Desert,Elderly Living Alone,Rent Burden,Eviction Rates,Eviction Filings,Eviction Filing Rates,Transportation Burden,Lack of Health Insurance,Tree Canopy Coverage,Vacant Houses
1400000US36029017100,36029017100,171,Erie,New York,14847,3.1,2706.222222,1369.555556,1336.666667,610.6666667,0.18227401,0.092244599,0.090029411,0.041130644,1243,65,138,165,183,253,270,319,355,410,627,777,954,1093,1141,1207,1243,756,9072,60,Null,0,0.092580433,0.411,0.0108,168,0.1518,0.2,0.11,0.121852999,0.232502011
1400000US36029003400,36029003400,34,Erie,New York,16640,3.3,2399.489362,1201.73617,1197.753191,177.8638298,0.144200082,0.072219722,0.07198036,0.010688932,1299,164,288,336,378,494,563,620,646,733,851,977,1166,1216,1235,1279,1299,808,9696,27.4,Null,0,0.126086957,0.388,0.0169,101,0.142,0.2,0.074,0.112467003,0.172440339
1400000US36029004700,36029004700,47,Erie,New York,16656,3.3,2717.484029,1320.412776,1397.071253,242.968059,0.16315346,0.079275503,0.083877957,0.014587419,1795,80,136,252,318,488,569,714,832,876,1088,1246,1517,1677,1743,1774,1795,737,8844,24.1,Null,0,0.102467587,0.46,0.007,147,0.0939,0.19,0.02,0.119448004,0.175487465
1400000US36029006100,36029006100,61,Erie,New York,17334,3.3,2128.428246,980.7744875,1147.653759,439.0318907,0.122789215,0.056580967,0.066208247,0.025327789,1279,35,71,99,146,219,246,292,320,345,415,518,726,958,1094,1246,1279,744,8928,43,Null,0,0.043213634,0.33,0.0062,159,0.1231,0.19,0.014,0.097883596,0.266614543
1400000US36029001600,36029001600,16,Erie,New York,14564,3.1,2280.987654,1120.691358,1160.296296,246.0967078,0.156618213,0.07694942,0.079668793,0.016897604,2544,0,9,40,40,60,181,235,264,306,430,774,1163,1510,1698,2159,2544,637,7644,54,Null,0,0.116451017,0.435,0.008,109,0.1091,0.19,0,0.078123598,0.116352201
1400000US36029001402,36029001402,14.02,Erie,New York,16250,3.3,1979.296188,892.6451613,1086.651026,448.6627566,0.121802842,0.05493201,0.066870832,0.027610016,2405,67,166,213,306,361,511,556,670,726,990,1163,1454,1787,1952,2283,2405,498,5976,38,Null,0,0.224951519,0.291,0.0021,581,0.4128,0.17,0,0.054349599,0.037006237
1400000US36029008300,36029008300,83,Erie,New York,15284,3.2,2472.527473,1204.404396,1268.123077,212.5714286,0.161772276,0.078801648,0.082970628,0.013908102,2301,116,133,159,217,290,332,403,468,523,675,826,1163,1486,1721,2074,2301,682,8184,34,Null,1,Null,0.295,0.0023,9,0.0102,0.2,0.182,Null,0.070838766
1400000US36029007102,36029007102,71.02,Erie,New York,18068,3.4,1948.9718,917.5444685,1031.427332,242.6941432,0.107868707,0.050782846,0.057085861,0.013432264,1489,84,101,145,173,207,268,347,403,410,541,704,883,1116,1275,1428,1489,711,8532,54.2,Null,0,0.098334655,0.33,0.0104,208,0.1806,0.16,0.065,0.077082901,0.060443251
1400000US36029009401,36029009401,94.01,Erie,New York,31625,6.3,1946.018519,1017.888889,928.1296296,208.1882716,0.061534182,0.03218621,0.029347972,0.006583028,1632,9,37,37,84,145,170,196,221,241,337,507,643,797,1062,1337,1632,1368,16416,8.4,Null,1,Null,0.238,0,2,0.0033,0.23,0,Null,0.020833333
1400000US36029004601,36029004601,46.01,Erie,New York,20217,4.2,1960.277027,1006.641892,953.6351351,251.7077703,0.096961816,0.049791853,0.047169963,0.012450303,2945,46,87,121,145,345,366,477,514,590,768,924,1356,1578,1829,2217,2945,948,11376,28.1,Null,0,0.088375796,0.286,0.003,23,0.0342,0.2,0,0.127151003,0.012903226
